parent_node,child_node,child_type
input,a0.h0,q
input,a0.h0,k
input,a0.h0,v
input,a0.h1,v
input,a0.h2,q
input,a0.h2,k
input,a0.h2,v
input,a0.h4,k
input,a0.h4,v
input,a0.h6,q
input,a0.h7,q
input,a0.h7,k
input,a0.h7,v
input,a0.h8,k
input,a0.h9,q
input,a0.h9,k
input,a0.h9,v
input,a0.h11,q
input,a0.h11,k
input,a0.h11,v
input,a0.h12,q
input,a0.h12,k
input,a0.h12,v
input,a0.h13,q
input,a0.h13,k
input,a0.h13,v
input,m0,
a0.h0,m0,
a0.h1,m0,
a0.h2,m0,
a0.h4,m0,
a0.h6,m0,
a0.h7,m0,
a0.h8,m0,
a0.h9,m0,
a0.h11,m0,
a0.h12,m0,
a0.h13,m0,
m0,m1,
m0,a2.h12,v
m1,a2.h12,v
m0,m2,
m1,m2,
m0,m3,
m1,m3,
m0,a4.h12,v
m1,a4.h12,v
m3,a4.h12,v
m0,m4,
m1,m4,
a2.h12,m4,
m3,m4,
a4.h12,m4,
m0,m5,
m1,m5,
m2,m5,
m3,m5,
m4,m5,
m0,m6,
m1,m6,
a2.h12,m6,
m2,m6,
m3,m6,
a4.h12,m6,
m4,m6,
m5,m6,
m1,m7,
m2,m7,
m3,m7,
m4,m7,
m0,a8.h3,v
m0,a8.h8,v
m1,a8.h8,q
m1,a8.h8,v
m3,a8.h3,v
m5,a8.h3,v
m6,a8.h8,v
m7,a8.h3,v
m0,m8,
m1,m8,
m2,m8,
m4,m8,
m7,m8,
a8.h8,m8,
m0,a9.h12,q
m0,a9.h12,k
m0,a9.h12,v
m1,a9.h12,q
m1,a9.h12,k
m1,a9.h12,v
m2,a9.h12,k
m3,a9.h12,k
m0,m9,
m1,m9,
m2,m9,
m3,m9,
m4,m9,
m5,m9,
m7,m9,
m8,m9,
m0,a10.h0,q
m0,a10.h0,v
m0,a10.h6,v
m1,a10.h0,q
m1,a10.h0,k
m1,a10.h0,v
m2,a10.h0,k
m2,a10.h0,v
m2,a10.h6,v
m2,a10.h7,v
m3,a10.h0,q
m3,a10.h0,v
m3,a10.h6,v
m3,a10.h7,v
m4,a10.h6,v
m6,a10.h6,v
m9,a10.h6,v
m9,a10.h7,v
m0,m10,
m1,m10,
m2,m10,
m3,m10,
m4,m10,
m5,m10,
m6,m10,
m7,m10,
m9,m10,
m0,a11.h13,k
m1,a11.h13,q
m1,a11.h13,v
m5,a11.h13,v
m0,m11,
m1,m11,
m2,m11,
m3,m11,
m4,m11,
m5,m11,
m6,m11,
m7,m11,
m8,m11,
m9,m11,
a10.h6,m11,
m0,m12,
m2,m12,
m3,m12,
m4,m12,
m5,m12,
m6,m12,
m7,m12,
m9,m12,
a10.h6,m12,
m10,m12,
m11,m12,
m0,a13.h7,q
m0,a13.h7,k
m0,a13.h7,v
m1,a13.h7,q
m1,a13.h7,k
m2,a13.h13,v
m3,a13.h7,k
m3,a13.h7,v
m0,m13,
m1,m13,
m2,m13,
m3,m13,
m4,m13,
m5,m13,
m6,m13,
m7,m13,
a9.h12,m13,
m9,m13,
m10,m13,
a11.h13,m13,
m11,m13,
m12,m13,
m0,m14,
m1,m14,
m2,m14,
m3,m14,
m4,m14,
m6,m14,
m7,m14,
m10,m14,
m11,m14,
m12,m14,
a13.h7,m14,
m13,m14,
m0,m15,
m1,m15,
m2,m15,
m3,m15,
m4,m15,
m5,m15,
m6,m15,
m7,m15,
m9,m15,
a10.h0,m15,
a10.h7,m15,
m10,m15,
m11,m15,
m12,m15,
a13.h7,m15,
m14,m15,
m0,a16.h10,v
m1,a16.h10,v
a2.h12,a16.h10,v
m2,a16.h10,v
m4,a16.h10,v
m6,a16.h10,v
m7,a16.h10,v
m13,a16.h10,v
m14,a16.h10,v
m0,m16,
m1,m16,
a2.h12,m16,
m2,m16,
m3,m16,
m5,m16,
m7,m16,
m8,m16,
m9,m16,
