order,original_sentence,original_triplet,original_label_variant,counterfact4_replaced,counterfact_triplet4_replaced,counterfact_label_variant,is_match
AOS,"tidak dapat snack . setelah di keluhan , baru dikasik snacknya .","[('snack', 'tidak dapat', 'negative')]",[A] snack [O] tidak dapat [S] negative,"baik sangat radio . setelah di keluhan , baru dikasik snacknya .","[('radio', 'baik sangat', 'positive')]",[A] radio [O] baik sangat [S] positive,True
AOS,kamarnya oke .,"[('kamarnya', 'oke', 'positive')]",[A] kamarnya [O] oke [S] positive,pot bunga  busuk .,"[('pot bunga', 'busuk', 'negative')]",[A] pot bunga [O] busuk [S] negative,True
AOS,tempat tdr kurang bersih .,"[('tempat tidur', 'kurang bersih', 'negative')]",[A] tempat tidur [O] kurang bersih [S] negative,baju anakku cukup cepat .,"[('baju anakku', 'cukup cepat', 'positive')]",[A] baju anakku [O] cukup cepat [S] positive,True
AOS,tetapi sayangnya di kamar yang saya tempati tidak terdapat lampu tidur .,"[('lampu tidur', 'tidak terdapat', 'negative')]",[A] lampu tidur [O] tidak terdapat [S] negative,tetapi sayangnya di kamar yang saya tempati cepat sekali rekening tabungan .,"[('rekening tabungan', 'cepat sekali', 'positive')]",[A] rekening tabungan [O] cepat sekali [S] positive,True
AOS,tidak ada sarapan .,"[('sarapan', 'tidak ada', 'negative')]",[A] sarapan [O] tidak ada [S] negative,baik sangat lilin .,"[('lilin', 'baik sangat', 'positive')]",[A] lilin [O] baik sangat [S] positive,True
AOS,di kamar saya tidak ada air hangat .,"[('air hangat', 'tidak ada', 'negative')]",[A] air hangat [O] tidak ada [S] negative,di kamar saya sangat ok daunnya .,"[('daunnya', 'sangat ok', 'positive')]",[A] daunnya [O] sangat ok [S] positive,True
AOS,air panas sering tidak mengalir .,"[('air panas', 'sering tidak mengalir', 'negative')]",[A] air panas [O] sering tidak mengalir [S] negative,kunci motor manis sekali rasanya .,"[('kunci motor', 'manis sekali rasanya', 'positive')]",[A] kunci motor [O] manis sekali rasanya [S] positive,True
AOS,"kasurnya buat tidur buat sakit dada , jadi saya pindah ke tempat lain .","[('kasurnya', 'buat sakit dada', 'negative')]",[A] kasurnya [O] buat sakit dada [S] negative,"mie rebus buat tidur benar benar cantik , jadi saya pindah ke tempat lain .","[('mie rebus', 'benar benar cantik', 'positive')]",[A] mie rebus [O] benar benar cantik [S] positive,True
AOS,kurang lampu saja ini yang kurang terang .,"[('lampu', 'kurang terang', 'negative')]",[A] lampu [O] kurang terang [S] negative,kurang baju saja ini yang cepat sekali .,"[('baju', 'cepat sekali', 'positive')]",[A] baju [O] cepat sekali [S] positive,True
AOS,di kamar basement sinyal hp tidak ada .,"[('sinyal hp', 'tidak ada', 'negative')]",[A] sinyal hp [O] tidak ada [S] negative,di kamar basement kucing hitam sangat keras .,"[('kucing hitam', 'sangat keras', 'positive')]",[A] kucing hitam [O] sangat keras [S] positive,True
