element,metric,total_edges,baseline_score,top_k,edge_percentage,circuit_score,faithfulness
aspect,logit_diff,179749,8.8625,100,0.1%,1.6642,18.7782%
aspect,logit_diff,179749,8.8625,200,0.1%,3.1892,35.9851%
aspect,logit_diff,179749,8.8625,500,0.3%,6.5478,73.8814%
aspect,logit_diff,179749,8.8625,1000,0.6%,7.5795,85.5225%
aspect,logit_diff,179749,8.8625,2000,1.1%,8.1310,91.7456%
aspect,logit_diff,179749,8.8625,5000,2.8%,8.7100,98.2792%
aspect,logit_diff,179749,8.8625,10000,5.6%,9.0292,101.8802%
aspect,logit_diff,179749,8.8625,20000,11.1%,9.0536,102.1558%
aspect,logit_diff,179749,8.8625,30000,16.7%,9.0245,101.8279%
aspect,logit_diff,179749,8.8625,40000,22.3%,9.0211,101.7897%
opinion,logit_diff,179749,7.7918,100,0.1%,-1.0566,-13.5608%
opinion,logit_diff,179749,7.7918,200,0.1%,2.7167,34.8660%
opinion,logit_diff,179749,7.7918,500,0.3%,5.9087,75.8321%
opinion,logit_diff,179749,7.7918,1000,0.6%,6.8241,87.5812%
opinion,logit_diff,179749,7.7918,2000,1.1%,7.1602,91.8951%
opinion,logit_diff,179749,7.7918,5000,2.8%,7.7717,99.7422%
opinion,logit_diff,179749,7.7918,10000,5.6%,8.2540,105.9330%
opinion,logit_diff,179749,7.7918,20000,11.1%,8.6340,110.8094%
opinion,logit_diff,179749,7.7918,30000,16.7%,8.7594,112.4187%
opinion,logit_diff,179749,7.7918,40000,22.3%,8.8331,113.3644%
sentiment,logit_diff,179749,0.5151,100,0.1%,-0.0728,-14.1278%
sentiment,logit_diff,179749,0.5151,200,0.1%,0.0356,6.9139%
sentiment,logit_diff,179749,0.5151,500,0.3%,0.1539,29.8842%
sentiment,logit_diff,179749,0.5151,1000,0.6%,0.2120,41.1488%
sentiment,logit_diff,179749,0.5151,2000,1.1%,0.3083,59.8553%
sentiment,logit_diff,179749,0.5151,5000,2.8%,0.4478,86.9235%
sentiment,logit_diff,179749,0.5151,10000,5.6%,0.4979,96.6529%
sentiment,logit_diff,179749,0.5151,20000,11.1%,0.5582,108.3549%
sentiment,logit_diff,179749,0.5151,30000,16.7%,0.5547,107.6920%
sentiment,logit_diff,179749,0.5151,40000,22.3%,0.5471,106.2022%
