parent_node,child_node,child_type
input,a0.h0,q
input,a0.h0,k
input,a0.h0,v
input,a0.h1,k
input,a0.h1,v
input,a0.h4,q
input,a0.h4,v
input,a0.h5,v
input,a0.h6,q
input,a0.h6,v
input,a0.h8,v
input,a0.h9,q
input,a0.h9,v
input,a0.h11,q
input,a0.h11,v
input,a0.h12,q
input,a0.h12,k
input,a0.h12,v
input,a0.h13,k
input,a0.h13,v
input,m0,
a0.h0,m0,
a0.h1,m0,
a0.h4,m0,
a0.h5,m0,
a0.h6,m0,
a0.h8,m0,
a0.h9,m0,
a0.h11,m0,
a0.h12,m0,
a0.h13,m0,
m0,m1,
m0,a2.h8,v
m0,a2.h9,v
m0,a2.h11,v
m0,a2.h12,v
m1,a2.h8,v
m1,a2.h12,v
m0,m2,
m1,m2,
a2.h8,m2,
a2.h9,m2,
a2.h11,m2,
m0,m3,
m1,m3,
m2,m3,
m0,m4,
m1,m4,
m2,m4,
m3,m4,
m0,m5,
m0,m6,
m1,m6,
m0,m7,
m1,m7,
m2,m7,
m4,m7,
m0,m9,
m0,m11,
m0,m13,
m0,m14,
m0,a16.h0,v
m0,a16.h1,v
m0,a16.h2,v
m0,a16.h3,v
m0,a16.h7,v
m0,a16.h9,v
m0,a16.h10,v
m0,a16.h11,v
m0,a16.h12,v
m0,a16.h13,v
m1,a16.h10,v
m0,m16,
m1,m16,
m2,m16,
m4,m16,
a16.h10,m16,
m0,m17,
m1,m17,
m3,m17,
m4,m17,
a16.h10,m17,
m0,m18,
m0,m19,
m0,a20.h11,v
m0,m20,
m1,m20,
m2,m20,
m3,m20,
m4,m20,
m5,m20,
m6,m20,
m7,m20,
m14,m20,
m16,m20,
m17,m20,
m0,a21.h11,v
m0,m21,
m1,m21,
m2,m21,
m3,m21,
m4,m21,
m16,m21,
m18,m21,
m19,m21,
m0,a22.h0,v
m0,a22.h6,v
m0,m22,
m1,m22,
m2,m22,
m3,m22,
m4,m22,
m16,m22,
m21,m22,
m0,m23,
m1,m23,
a2.h12,m23,
m2,m23,
m3,m23,
m4,m23,
m6,m23,
m7,m23,
m13,m23,
m14,m23,
a16.h10,m23,
m16,m23,
m17,m23,
m18,m23,
m19,m23,
m20,m23,
m21,m23,
m22,m23,
m0,logits,
m1,logits,
m2,logits,
m3,logits,
m4,logits,
m6,logits,
m7,logits,
m9,logits,
m11,logits,
m13,logits,
m14,logits,
a16.h0,logits,
a16.h1,logits,
a16.h2,logits,
a16.h3,logits,
a16.h7,logits,
a16.h9,logits,
a16.h11,logits,
a16.h12,logits,
a16.h13,logits,
m16,logits,
m17,logits,
m18,logits,
m19,logits,
a20.h11,logits,
m20,logits,
a21.h11,logits,
m21,logits,
a22.h0,logits,
a22.h6,logits,
m22,logits,
m23,logits,
input,a0.h2,k
input,a0.h3,v
input,a0.h5,k
input,a0.h6,k
input,a0.h7,q
input,a0.h7,v
input,a0.h9,k
input,a0.h11,k
a0.h2,m0,
a0.h3,m0,
a0.h7,m0,
m0,m10,
m1,m10,
m1,m13,
m0,a14.h5,v
m1,a14.h5,q
m1,a14.h5,k
m3,a14.h5,v
m4,a14.h5,v
m6,a14.h5,v
m10,a14.h5,v
m13,a14.h5,v
a14.h5,m14,
m0,m15,
m10,m15,
a14.h5,m15,
m14,m15,
m3,m16,
m15,m16,
m0,a18.h4,q
m0,a18.h4,v
m1,a18.h4,q
m1,a18.h4,k
m2,a18.h4,q
m5,a18.h4,q
m16,a18.h4,v
m17,a18.h4,v
m1,m18,
a14.h5,m18,
a14.h5,a19.h7,v
a14.h5,a19.h8,v
a18.h4,a19.h7,v
a18.h4,a19.h8,v
a18.h4,a19.h10,v
a18.h4,a19.h11,v
a14.h5,m19,
a18.h4,m19,
m18,m19,
m0,a20.h9,v
m18,m20,
m0,a21.h1,v
m0,a21.h2,k
m0,a21.h2,v
m0,a21.h10,k
m0,a21.h10,v
m1,a21.h2,v
m1,a21.h11,k
a18.h4,m21,
m20,m21,
a21.h11,m21,
m5,logits,
a14.h5,logits,
m15,logits,
a18.h4,logits,
a19.h7,logits,
a19.h8,logits,
a19.h10,logits,
a19.h11,logits,
a20.h9,logits,
a21.h1,logits,
a21.h2,logits,
a21.h10,logits,
input,a0.h4,k
input,a0.h13,q
m1,m15,
m2,m17,
m16,m17,
m4,m18,
a16.h10,m18,
m16,m18,
m17,m18,
m1,m19,
m2,m19,
a16.h10,m19,
m16,m19,
m17,m19,
m0,a20.h7,v
a16.h10,m20,
m19,m20,
m0,a21.h9,v
m6,m21,
m14,m21,
a16.h10,m21,
m17,m21,
a21.h9,m21,
m17,m22,
m18,m22,
m19,m22,
m20,m22,
m15,m23,
a20.h7,logits,
a21.h9,logits,
