parent_node,child_node,child_type
input,a0.h0,v
input,a0.h11,v
input,m0,
a0.h0,m0,
a0.h11,m0,
m0,m3,
m3,a9.h7,k
m3,a13.h2,k
m3,a13.h2,v
m0,a16.h11,v
m3,a16.h9,k
m3,a16.h9,v
m3,a16.h10,k
m3,a17.h7,k
m3,a17.h8,k
m3,a18.h2,k
m3,m19,
m0,a20.h7,v
m3,a20.h1,k
m3,a21.h0,k
m3,a21.h4,k
m3,a21.h6,k
m3,a21.h13,k
m0,a22.h1,k
m0,a22.h5,v
a16.h10,a22.h5,v
a9.h7,logits,
a13.h2,logits,
a16.h9,logits,
a16.h11,logits,
a17.h7,logits,
a17.h8,logits,
a18.h2,logits,
m19,logits,
a20.h1,logits,
a20.h7,logits,
a21.h0,logits,
a21.h4,logits,
a21.h6,logits,
a21.h13,logits,
a22.h1,logits,
a22.h5,logits,
input,a0.h1,v
input,a0.h5,v
input,a0.h6,v
input,a0.h8,k
input,a0.h8,v
input,a0.h9,v
input,a0.h10,v
input,a0.h12,v
input,a0.h13,v
a0.h1,m0,
a0.h5,m0,
a0.h6,m0,
a0.h8,m0,
a0.h9,m0,
a0.h10,m0,
a0.h12,m0,
a0.h13,m0,
m0,m4,
m0,a9.h12,v
m0,a15.h4,v
a15.h4,m15,
m15,a16.h1,k
m0,m16,
m0,a18.h1,v
m0,m19,
a18.h1,m19,
m0,a20.h5,v
m0,a20.h9,v
m4,a20.h5,v
a18.h1,m20,
m0,a21.h0,k
m0,a21.h2,v
m0,a21.h8,k
m0,a21.h8,v
m0,a21.h11,k
m0,a21.h11,v
m0,a21.h13,v
m4,a21.h0,k
m4,a21.h2,v
m4,a21.h8,v
m4,a21.h11,v
m16,a21.h0,k
m16,a21.h8,v
m20,a21.h2,v
m20,a21.h11,v
m0,m21,
m19,m21,
m20,m21,
a21.h8,m21,
m0,a22.h6,k
m0,a22.h9,k
m0,a22.h9,v
m0,a22.h11,v
m4,a22.h9,v
m4,a22.h11,v
m16,a22.h11,v
m19,a22.h11,v
a20.h9,a22.h6,v
a21.h0,a22.h7,q
a21.h2,a22.h6,q
a21.h2,a22.h7,q
m21,a22.h6,q
m21,a22.h11,v
m0,m22,
a20.h5,m22,
a21.h0,m22,
m0,a23.h10,v
m0,a23.h11,k
m0,a23.h11,v
m16,a23.h11,v
m19,a23.h11,v
m19,m23,
m20,m23,
a21.h0,m23,
a22.h6,m23,
a22.h9,m23,
a22.h11,m23,
m22,m23,
a9.h12,logits,
m15,logits,
a16.h1,logits,
m16,logits,
a18.h1,logits,
a20.h9,logits,
m20,logits,
a21.h2,logits,
a21.h8,logits,
a21.h11,logits,
m21,logits,
a22.h6,logits,
a22.h7,logits,
a22.h9,logits,
a22.h11,logits,
a23.h10,logits,
a23.h11,logits,
m23,logits,
m0,m1,
m0,a2.h8,v
m0,a2.h9,v
m0,m2,
m1,m2,
a2.h8,m2,
a2.h9,m2,
m1,m4,
m2,m4,
m3,m4,
m0,m12,
m0,m14,
m0,m15,
m14,m15,
m0,a16.h9,v
m0,a16.h10,v
m0,a16.h11,q
m1,m16,
m2,m16,
m0,a17.h8,v
m2,m19,
m14,m19,
m0,a20.h7,k
m0,a20.h12,k
m1,a20.h12,k
m2,a20.h12,k
a16.h10,a20.h7,v
m0,m20,
m19,m20,
m0,a21.h4,k
a16.h10,a21.h2,v
m20,a21.h13,k
m14,m21,
a16.h10,m21,
a20.h7,m21,
m0,a22.h1,v
m0,a22.h4,k
m0,a22.h11,k
m0,a22.h13,v
a16.h9,a22.h4,q
a20.h7,a22.h4,q
a20.h12,a22.h4,q
m20,a22.h4,k
m20,a22.h6,k
a20.h7,m22,
m21,m22,
m0,a23.h1,v
m0,a23.h9,k
a22.h9,a23.h8,v
m0,m23,
m21,m23,
a22.h1,m23,
a22.h13,m23,
a23.h1,m23,
m0,logits,
m3,logits,
m4,logits,
m12,logits,
m14,logits,
a20.h12,logits,
a22.h4,logits,
m22,logits,
a23.h1,logits,
a23.h8,logits,
a23.h9,logits,
