parent_node,child_node,child_type
input,a0.h0,v
input,a0.h1,v
input,a0.h2,q
input,a0.h2,k
input,a0.h2,v
input,a0.h4,k
input,a0.h4,v
input,a0.h6,v
input,a0.h9,q
input,a0.h9,v
input,a0.h11,q
input,a0.h11,v
input,a0.h12,k
input,a0.h12,v
input,a0.h13,k
input,a0.h13,v
input,m0,
a0.h0,m0,
a0.h1,m0,
a0.h2,m0,
a0.h4,m0,
a0.h6,m0,
a0.h9,m0,
a0.h11,m0,
a0.h12,m0,
a0.h13,m0,
m0,a1.h8,v
a1.h8,m1,
m0,a2.h8,q
m0,a2.h8,k
m0,a2.h8,v
m0,a2.h9,k
m0,a2.h9,v
m0,a2.h11,v
m0,a2.h13,k
m1,a2.h13,v
m0,m2,
m1,m2,
a2.h8,m2,
a2.h9,m2,
a2.h11,m2,
m0,m3,
a2.h13,m3,
m2,m3,
m0,a4.h3,v
m2,a4.h2,v
m2,a4.h3,k
m3,a4.h2,k
m3,a4.h2,v
m3,a4.h3,q
m3,a4.h3,k
m3,a4.h12,q
m3,a4.h12,k
m0,m4,
a2.h8,m4,
m2,m4,
m3,m4,
a4.h2,m4,
a4.h12,m4,
m2,m5,
m3,m5,
a4.h2,m5,
a4.h3,m5,
m1,m6,
m3,m6,
m4,m6,
m0,a7.h7,v
m3,a7.h7,k
m3,a7.h7,v
m0,m7,
m2,m7,
m3,m7,
m4,m7,
m5,m7,
m6,m7,
m0,a8.h7,v
m0,a8.h10,k
m0,a8.h10,v
m2,a8.h7,v
m3,a8.h9,k
m3,a8.h9,v
m3,a8.h10,k
m3,a8.h10,v
m2,m8,
m3,m8,
m4,m8,
m0,a9.h9,k
m2,a9.h7,k
m2,a9.h9,k
m3,a9.h2,k
m3,a9.h2,v
m3,a9.h3,k
m3,a9.h3,v
m3,a9.h6,v
m3,a9.h7,k
m3,a9.h7,v
m3,a9.h8,k
m3,a9.h8,v
m3,a9.h9,k
m3,a9.h9,v
m3,a9.h10,k
m3,a9.h13,k
m3,a9.h13,v
m0,m9,
m2,m9,
m3,m9,
a8.h10,m9,
m8,m9,
m2,a10.h0,v
m2,a10.h5,k
m3,a10.h0,k
m3,a10.h0,v
m3,a10.h1,q
m3,a10.h1,k
m3,a10.h1,v
m3,a10.h5,k
m3,a10.h5,v
m3,a10.h11,k
m9,a10.h0,v
m2,m10,
m3,m10,
m5,m10,
a9.h7,m10,
a9.h8,m10,
m0,a11.h8,k
m2,a11.h3,v
m2,a11.h7,k
m2,a11.h7,v
m2,a11.h11,k
m3,a11.h3,k
m3,a11.h3,v
m3,a11.h5,k
m3,a11.h7,k
m3,a11.h8,k
m3,a11.h10,k
m3,a11.h11,k
m3,a11.h11,v
m3,a11.h12,k
m3,a11.h13,v
m5,a11.h7,k
m5,a11.h11,k
a10.h1,a11.h8,v
m10,a11.h13,v
m0,m11,
m4,m11,
a9.h10,m11,
m0,a12.h11,v
m1,a12.h11,v
m2,a12.h11,v
m2,a12.h13,v
m3,a12.h2,k
m3,a12.h2,v
m3,a12.h4,k
m3,a12.h7,v
m3,a12.h9,q
m3,a12.h9,k
m3,a12.h10,v
m3,a12.h11,k
m3,a12.h11,v
m3,a12.h13,k
m3,a12.h13,v
m4,a12.h11,v
a10.h1,a12.h13,v
m3,m12,
m5,m12,
a8.h7,m12,
a9.h10,m12,
m9,m12,
m11,m12,
m0,a13.h2,k
m0,a13.h10,k
m3,a13.h0,k
m3,a13.h0,v
m3,a13.h2,k
m3,a13.h2,v
m3,a13.h6,q
m3,a13.h6,k
m3,a13.h6,v
m3,a13.h7,k
m3,a13.h10,k
m5,a13.h2,k
a9.h3,a13.h6,v
a10.h0,a13.h2,v
a12.h7,a13.h2,v
a12.h7,a13.h6,v
a12.h11,a13.h2,k
a12.h13,a13.h0,v
a12.h13,a13.h2,v
a12.h13,a13.h6,v
m0,m13,
m1,m13,
m3,m13,
m4,m13,
a9.h7,m13,
m0,a14.h0,v
m3,a14.h0,k
m3,a14.h2,k
m3,a14.h3,k
m3,a14.h3,v
m3,a14.h5,k
m3,a14.h7,k
m3,a14.h9,k
m13,a14.h0,v
m3,m14,
m8,m14,
m0,a15.h0,v
m0,a15.h13,k
m2,a15.h6,v
m3,a15.h0,v
m3,a15.h1,k
m3,a15.h2,q
m3,a15.h2,k
m3,a15.h2,v
m3,a15.h3,k
m3,a15.h4,q
m3,a15.h4,k
m3,a15.h4,v
m3,a15.h5,k
m3,a15.h6,k
m3,a15.h7,k
m3,a15.h7,v
m3,a15.h8,k
m3,a15.h10,k
m3,a15.h13,k
m5,a15.h2,v
m10,a15.h13,k
a12.h9,a15.h10,v
a13.h0,a15.h10,v
a13.h6,a15.h5,v
m14,a15.h2,v
m14,a15.h4,k
m14,a15.h6,v
m0,m15,
m6,m15,
m7,m15,
a8.h7,m15,
m8,m15,
a11.h7,m15,
a11.h10,m15,
a11.h12,m15,
m11,m15,
m12,m15,
a15.h1,m15,
a15.h2,m15,
a15.h4,m15,
m0,a16.h0,v
m0,a16.h1,v
m0,a16.h2,k
m0,a16.h3,k
m0,a16.h3,v
m0,a16.h4,k
m0,a16.h4,v
m0,a16.h7,k
m0,a16.h8,k
m0,a16.h8,v
m0,a16.h9,k
m0,a16.h9,v
m0,a16.h10,k
m0,a16.h10,v
m0,a16.h11,v
m0,a16.h12,v
m0,a16.h13,v
m2,a16.h1,v
m2,a16.h3,k
m2,a16.h3,v
m2,a16.h8,k
m2,a16.h9,k
m2,a16.h10,k
m2,a16.h11,k
m3,a16.h0,v
m3,a16.h1,k
m3,a16.h1,v
m3,a16.h2,k
m3,a16.h2,v
m3,a16.h3,k
m3,a16.h3,v
m3,a16.h4,k
m3,a16.h4,v
m3,a16.h6,k
m3,a16.h6,v
m3,a16.h7,k
m3,a16.h7,v
m3,a16.h8,k
m3,a16.h9,k
m3,a16.h9,v
m3,a16.h10,k
m3,a16.h11,q
m3,a16.h11,k
m3,a16.h11,v
m3,a16.h12,k
m3,a16.h13,k
m3,a16.h13,v
m4,a16.h8,k
m4,a16.h9,v
m4,a16.h11,v
m5,a16.h1,k
m5,a16.h1,v
m5,a16.h2,k
m5,a16.h3,k
m5,a16.h3,v
m5,a16.h4,k
m5,a16.h9,k
m8,a16.h9,k
m14,a16.h2,k
a15.h2,a16.h1,k
a15.h2,a16.h6,k
a15.h2,a16.h7,k
a15.h2,a16.h8,k
a15.h2,a16.h10,k
a15.h2,a16.h11,k
a15.h4,a16.h2,k
a15.h4,a16.h8,k
a15.h4,a16.h10,k
a15.h4,a16.h12,k
m15,a16.h4,k
m15,a16.h7,k
m15,a16.h10,k
m0,m16,
m3,m16,
a15.h10,m16,
a16.h9,m16,
m2,a17.h7,k
m3,a17.h7,k
m3,a17.h7,v
m3,a17.h8,k
m5,a17.h7,k
m2,m17,
m3,m17,
a13.h2,m17,
m14,m17,
m16,m17,
m0,a18.h13,v
m2,a18.h2,k
m2,a18.h13,k
m3,a18.h2,k
m3,a18.h2,v
m3,a18.h3,k
m3,a18.h4,k
m3,a18.h6,k
m3,a18.h13,k
m3,a18.h13,v
m5,a18.h13,k
m16,a18.h4,k
m3,m18,
a15.h0,m18,
a15.h8,m18,
a17.h8,m18,
a18.h4,m18,
m0,a19.h2,k
m3,a19.h2,k
m3,a19.h3,k
m3,a19.h5,k
m3,a19.h7,k
m3,a19.h8,k
m3,a19.h9,k
m3,a19.h10,k
m3,a19.h13,k
m0,m19,
m3,m19,
a9.h7,m19,
a13.h0,m19,
a13.h2,m19,
m14,m19,
a15.h2,m19,
a15.h4,m19,
a15.h13,m19,
a16.h9,m19,
a16.h10,m19,
a16.h11,m19,
a16.h12,m19,
m16,m19,
a19.h8,m19,
m0,a20.h7,v
m0,a20.h10,k
m0,a20.h11,v
m0,a20.h12,v
m1,a20.h7,v
m2,a20.h7,v
m2,a20.h12,k
m3,a20.h1,k
m3,a20.h5,k
m3,a20.h6,k
m3,a20.h7,v
m3,a20.h9,k
m3,a20.h10,k
m3,a20.h11,k
m3,a20.h12,k
m3,a20.h12,v
m3,a20.h13,q
m3,a20.h13,k
m16,a20.h7,v
m19,a20.h10,k
m2,m20,
m3,m20,
a11.h11,m20,
a13.h2,m20,
a15.h2,m20,
a15.h4,m20,
a15.h5,m20,
a15.h10,m20,
a15.h13,m20,
m15,m20,
a16.h8,m20,
a16.h13,m20,
m19,m20,
a20.h5,m20,
m0,a21.h1,v
m0,a21.h2,k
m0,a21.h3,v
m0,a21.h5,k
m0,a21.h6,k
m0,a21.h6,v
m0,a21.h8,k
m0,a21.h8,v
m0,a21.h9,k
m0,a21.h10,k
m0,a21.h10,v
m0,a21.h11,v
m0,a21.h13,k
m2,a21.h6,k
m3,a21.h0,k
m3,a21.h1,v
m3,a21.h2,k
m3,a21.h2,v
m3,a21.h3,k
m3,a21.h4,k
m3,a21.h4,v
m3,a21.h5,k
m3,a21.h6,k
m3,a21.h6,v
m3,a21.h8,k
m3,a21.h10,k
m3,a21.h11,k
m3,a21.h12,k
m3,a21.h13,k
m4,a21.h6,k
m4,a21.h6,v
m6,a21.h8,k
a15.h2,a21.h5,k
m15,a21.h8,k
m16,a21.h8,v
m17,a21.h5,k
m17,a21.h6,v
m17,a21.h8,k
m19,a21.h0,v
m19,a21.h5,k
m19,a21.h8,k
a20.h6,a21.h12,v
a20.h13,a21.h0,v
a20.h13,a21.h3,v
m20,a21.h0,v
m20,a21.h1,v
m20,a21.h2,k
m20,a21.h4,k
m20,a21.h5,k
m20,a21.h6,v
m20,a21.h8,v
m20,a21.h11,k
m20,a21.h11,v
m20,a21.h13,k
m0,m21,
m3,m21,
a16.h11,m21,
a19.h8,m21,
m19,m21,
a20.h1,m21,
a20.h9,m21,
a20.h11,m21,
a20.h13,m21,
m20,m21,
a21.h2,m21,
a21.h9,m21,
a21.h10,m21,
a21.h11,m21,
a21.h12,m21,
m0,a22.h1,k
m0,a22.h1,v
m0,a22.h2,v
m0,a22.h3,v
m0,a22.h5,k
m0,a22.h5,v
m0,a22.h6,v
m0,a22.h8,v
m0,a22.h11,k
m0,a22.h11,v
m0,a22.h13,v
m2,a22.h5,v
m3,a22.h1,k
m3,a22.h2,k
m3,a22.h11,v
m3,a22.h13,k
m4,a22.h11,v
a13.h2,a22.h9,q
m15,a22.h9,k
a16.h10,a22.h3,v
a16.h10,a22.h5,v
a16.h10,a22.h6,v
a16.h10,a22.h8,v
a16.h10,a22.h13,v
a16.h11,a22.h5,v
m16,a22.h5,v
m18,a22.h9,k
a19.h2,a22.h9,q
a19.h8,a22.h9,q
m19,a22.h1,k
m19,a22.h5,k
m19,a22.h5,v
a20.h9,a22.h5,v
a20.h13,a22.h0,v
a20.h13,a22.h1,v
a20.h13,a22.h5,v
m20,a22.h1,k
m20,a22.h5,k
a21.h0,a22.h9,q
a21.h1,a22.h6,v
a21.h5,a22.h9,q
a21.h6,a22.h6,v
a21.h6,a22.h9,q
a21.h8,a22.h4,v
a21.h8,a22.h9,q
m21,a22.h1,k
m21,a22.h2,k
m21,a22.h2,v
m21,a22.h3,k
m21,a22.h6,v
m21,a22.h9,q
m21,a22.h9,k
m21,a22.h11,k
m21,a22.h11,v
m21,a22.h13,k
m3,m22,
a16.h1,m22,
a16.h11,m22,
m17,m22,
m19,m22,
a21.h2,m22,
a21.h4,m22,
a21.h6,m22,
a21.h12,m22,
a22.h0,m22,
a22.h4,m22,
a22.h11,m22,
m0,a23.h0,k
m0,a23.h0,v
m0,a23.h3,v
m0,a23.h11,v
m3,a23.h2,k
m3,a23.h11,k
a16.h10,a23.h11,v
a20.h7,a23.h1,v
a20.h11,a23.h1,v
a20.h12,a23.h1,v
a20.h13,a23.h9,v
m20,a23.h0,k
m20,a23.h9,k
m21,a23.h0,v
m21,a23.h2,k
m21,a23.h11,k
a22.h0,a23.h1,v
a22.h4,a23.h1,v
a22.h5,a23.h0,v
a22.h5,a23.h3,v
a22.h13,a23.h11,v
m22,a23.h11,k
m0,logits,
a2.h8,logits,
m2,logits,
a7.h7,logits,
a8.h9,logits,
m8,logits,
a9.h2,logits,
a9.h6,logits,
a9.h7,logits,
a9.h9,logits,
a9.h13,logits,
m9,logits,
