clean,corrupted,correct_label,incorrect_label,correct_idx,incorrect_idx
"tidak dapat snack . setelah di keluhan , baru dikasik snacknya . =>","baik sangat radio . setelah di keluhan , baru dikasik snacknya . =>",( snack | tidak dapat | negative ),( radio | baik sangat | positive ),"[[320, 39359, 760, 27281, 44117, 760, 8225, 873]]","[[320, 8887, 760, 79187, 70464, 760, 6785, 873]]"
kamarnya oke . =>,pot bunga  busuk . =>,( kamarnya | oke | positive ),( pot bunga | busuk | negative ),"[[320, 33661, 1885, 7755, 760, 297, 440, 760, 6785, 873]]","[[320, 3338, 293, 91845, 760, 5828, 3101, 760, 8225, 873]]"
tempat tdr kurang bersih . =>,baju anakku cukup cepat . =>,( tempat tidur | kurang bersih | negative ),( baju anakku | cukup cepat | positive ),"[[320, 2730, 266, 13112, 324, 760, 27265, 524, 58554, 6996, 760, 8225, 873]]","[[320, 293, 51413, 83255, 12133, 760, 92743, 454, 62090, 266, 760, 6785, 873]]"
tetapi sayangnya di kamar yang saya tempati tidak terdapat lampu tidur . =>,tetapi sayangnya di kamar yang saya tempati cepat sekali rekening tabungan . =>,( lampu tidur | tidak terdapat | negative ),( rekening tabungan | cepat sekali | positive ),"[[320, 27962, 84, 13112, 324, 760, 27281, 1982, 67, 25760, 760, 8225, 873]]","[[320, 312, 89273, 5651, 51188, 760, 62090, 266, 43834, 7956, 760, 6785, 873]]"
tidak ada sarapan . =>,baik sangat lilin . =>,( sarapan | tidak ada | negative ),( lilin | baik sangat | positive ),"[[320, 28047, 5359, 760, 27281, 34234, 760, 8225, 873]]","[[320, 61371, 258, 760, 79187, 70464, 760, 6785, 873]]"
di kamar saya tidak ada air hangat . =>,di kamar saya sangat ok daunnya . =>,( air hangat | tidak ada | negative ),( daunnya | sangat ok | positive ),"[[320, 3720, 14678, 266, 760, 27281, 34234, 760, 8225, 873]]","[[320, 2994, 359, 22891, 760, 70464, 5394, 760, 6785, 873]]"
air panas sering tidak mengalir . =>,kunci motor manis sekali rasanya . =>,( air panas | sering tidak mengalir | negative ),( kunci motor | manis sekali rasanya | positive ),"[[320, 3720, 7215, 300, 760, 1420, 287, 27281, 19729, 278, 404, 760, 8225, 873]]","[[320, 595, 18424, 8872, 760, 883, 285, 43834, 7956, 49910, 24074, 760, 6785, 873]]"
"kasurnya buat tidur buat sakit dada , jadi saya pindah ke tempat lain . =>","mie rebus buat tidur benar benar cantik , jadi saya pindah ke tempat lain . =>",( kasurnya | buat sakit dada | negative ),( mie rebus | benar benar cantik | positive ),"[[320, 47656, 399, 7755, 760, 1031, 266, 77310, 275, 294, 2584, 760, 8225, 873]]","[[320, 29065, 312, 10338, 760, 3318, 277, 3318, 277, 16464, 1579, 760, 6785, 873]]"
kurang lampu saja ini yang kurang terang . =>,kurang baju saja ini yang cepat sekali . =>,( lampu | kurang terang | negative ),( baju | cepat sekali | positive ),"[[320, 27962, 84, 760, 27265, 524, 1982, 524, 760, 8225, 873]]","[[320, 293, 51413, 760, 62090, 266, 43834, 7956, 760, 6785, 873]]"
di kamar basement sinyal hp tidak ada . =>,di kamar basement kucing hitam sangat keras . =>,( sinyal hp | tidak ada | negative ),( kucing hitam | sangat keras | positive ),"[[320, 274, 6441, 278, 20630, 760, 27281, 34234, 760, 8225, 873]]","[[320, 595, 58044, 4201, 309, 760, 70464, 25689, 760, 6785, 873]]"
