parent_node,child_node,child_type
input,a0.h0,q
input,a0.h0,v
input,a0.h1,q
input,a0.h1,k
input,a0.h1,v
input,a0.h2,q
input,a0.h2,k
input,a0.h2,v
input,a0.h3,q
input,a0.h3,k
input,a0.h3,v
input,a0.h4,q
input,a0.h4,k
input,a0.h4,v
input,a0.h5,v
input,a0.h6,q
input,a0.h6,k
input,a0.h6,v
input,a0.h7,q
input,a0.h7,k
input,a0.h7,v
input,a0.h8,q
input,a0.h8,k
input,a0.h8,v
input,a0.h9,q
input,a0.h9,k
input,a0.h9,v
input,a0.h10,q
input,a0.h10,k
input,a0.h10,v
input,a0.h11,q
input,a0.h11,k
input,a0.h11,v
input,a0.h12,q
input,a0.h12,k
input,a0.h12,v
input,a0.h13,q
input,a0.h13,v
input,m0,
a0.h0,m0,
a0.h1,m0,
a0.h2,m0,
a0.h3,m0,
a0.h4,m0,
a0.h5,m0,
a0.h6,m0,
a0.h7,m0,
a0.h8,m0,
a0.h9,m0,
a0.h10,m0,
a0.h11,m0,
a0.h12,m0,
a0.h13,m0,
m0,a1.h9,q
m0,a1.h9,v
m0,a1.h11,q
m0,a1.h12,q
m0,a1.h13,v
a0.h1,m1,
m0,m1,
a1.h9,m1,
a1.h11,m1,
a1.h12,m1,
a1.h13,m1,
m0,a2.h0,v
m0,a2.h1,q
m0,a2.h1,v
m0,a2.h4,v
m0,a2.h8,v
m0,a2.h11,v
m0,a2.h12,v
m1,a2.h1,q
m1,a2.h1,v
m1,a2.h2,v
m1,a2.h4,q
m1,a2.h4,v
m1,a2.h8,v
m1,a2.h11,q
m1,a2.h11,v
m1,a2.h12,q
m1,a2.h12,v
a0.h1,m2,
m0,m2,
m1,m2,
a2.h0,m2,
a2.h1,m2,
a2.h4,m2,
a2.h8,m2,
a2.h11,m2,
a2.h12,m2,
m0,a3.h8,v
m0,a3.h11,v
m1,a3.h5,v
m1,a3.h7,v
m1,a3.h8,v
m1,a3.h11,v
m2,a3.h11,v
m0,m3,
a1.h11,m3,
m1,m3,
a2.h0,m3,
a2.h12,m3,
m2,m3,
m0,a4.h2,v
m0,a4.h7,v
m0,a4.h9,v
m0,a4.h12,v
m1,a4.h6,k
m1,a4.h6,v
m1,a4.h7,q
m1,a4.h7,k
m1,a4.h9,q
m1,a4.h9,k
m1,a4.h9,v
m1,a4.h12,v
m2,a4.h7,v
a0.h1,m4,
m0,m4,
m1,m4,
a2.h1,m4,
a2.h2,m4,
a2.h4,m4,
a2.h12,m4,
m2,m4,
a3.h5,m4,
a3.h8,m4,
m3,m4,
a4.h2,m4,
m0,a5.h3,v
m0,a5.h9,v
m1,a5.h2,v
m1,a5.h3,q
m1,a5.h3,k
m1,a5.h3,v
m1,a5.h4,v
m1,a5.h9,v
m0,m5,
m1,m5,
m2,m5,
a3.h8,m5,
m3,m5,
m4,m5,
a5.h9,m5,
m0,a6.h11,v
m1,a6.h11,v
a0.h1,m6,
m0,m6,
m1,m6,
a2.h8,m6,
a2.h12,m6,
m2,m6,
a4.h9,m6,
m4,m6,
a5.h3,m6,
m5,m6,
m0,a7.h8,q
m0,a7.h9,v
m0,a7.h10,v
m1,a7.h10,v
a2.h4,a7.h10,v
m4,a7.h10,v
m6,a7.h8,v
m6,a7.h10,v
a0.h1,m7,
m0,m7,
m1,m7,
a2.h1,m7,
a2.h8,m7,
a2.h12,m7,
m2,m7,
m3,m7,
a4.h2,m7,
a4.h12,m7,
m4,m7,
a5.h3,m7,
m5,m7,
m6,m7,
a7.h9,m7,
a7.h10,m7,
m0,a8.h3,v
m0,a8.h7,v
m0,a8.h8,v
m1,a8.h3,v
m2,a8.h7,v
m5,a8.h7,v
m6,a8.h7,v
m6,a8.h8,v
m7,a8.h3,v
m7,a8.h7,v
m7,a8.h8,v
m0,m8,
m1,m8,
a2.h1,m8,
a2.h4,m8,
m3,m8,
m6,m8,
a8.h3,m8,
a8.h7,m8,
a8.h8,m8,
m0,a9.h2,v
m1,a9.h7,k
m1,a9.h7,v
m0,m9,
m1,m9,
m3,m9,
m4,m9,
a5.h2,m9,
m5,m9,
m6,m9,
a7.h10,m9,
m7,m9,
a8.h7,m9,
m8,m9,
a9.h7,m9,
m0,a10.h2,v
m0,a10.h6,v
m0,a10.h12,v
m1,a10.h6,v
m4,a10.h6,v
m5,a10.h6,v
m9,a10.h6,v
m0,m10,
a2.h2,m10,
m2,m10,
m3,m10,
m4,m10,
m6,m10,
m9,m10,
m0,a11.h11,v
m1,a11.h11,k
a8.h7,a11.h11,k
m0,m11,
m1,m11,
m2,m11,
m3,m11,
m4,m11,
a5.h4,m11,
m5,m11,
m6,m11,
m7,m11,
m8,m11,
m9,m11,
m10,m11,
m0,a12.h2,v
m1,a12.h2,v
m2,a12.h0,v
m9,a12.h0,v
m0,m12,
m1,m12,
m3,m12,
m4,m12,
m5,m12,
a7.h9,m12,
a8.h8,m12,
m8,m12,
m9,m12,
m11,m12,
m0,a13.h10,v
m1,a13.h10,k
m0,m13,
m2,m13,
m3,m13,
m5,m13,
m7,m13,
a8.h3,m13,
m8,m13,
m9,m13,
a10.h2,m13,
m10,m13,
a12.h0,m13,
m12,m13,
m0,a14.h4,v
m0,a14.h10,v
m1,a14.h5,v
m2,a14.h10,v
m3,a14.h5,v
m6,a14.h5,v
a10.h12,a14.h10,v
m12,a14.h1,v
m0,m14,
m1,m14,
a2.h12,m14,
m2,m14,
m4,m14,
m5,m14,
m6,m14,
a7.h9,m14,
a7.h10,m14,
m7,m14,
a8.h3,m14,
m9,m14,
m10,m14,
m11,m14,
a12.h0,m14,
m12,m14,
m13,m14,
a14.h10,m14,
m0,a15.h3,v
m1,a15.h1,q
m1,a15.h3,v
m1,a15.h9,v
m1,a15.h10,v
m3,a15.h3,v
a14.h5,a15.h3,v
m14,a15.h1,q
m14,a15.h1,v
m14,a15.h2,v
m14,a15.h5,v
m0,m15,
a3.h7,m15,
a4.h6,m15,
a4.h7,m15,
m6,m15,
m7,m15,
