clean,corrupted,correct_label,incorrect_label,correct_idx,incorrect_idx
kamar nya nyaman dengan nuansa biru . [A],sikut nya nyaman dengan nuansa biru . [A],kamar nya,sikut nya,"[[595, 15554, 75189]]","[[75461, 332, 75189]]"
menjadi pengalaman yang sangat berkesan . [A],menjadi gajah yang sangat berkesan . [A],pengalaman,gajah,"[[36686, 278, 12715]]","[[342, 1630, 1466]]"
"tempatnya nyaman , selalu happy menginap disini . [A]","lemarinya nyaman , selalu happy menginap disini . [A]",tempatnya,lemarinya,"[[2730, 266, 22891]]","[[512, 5612, 61087]]"
parkir mobil agak susah . [A],kebaikan agak susah . [A],parkir mobil,kebaikan,"[[6118, 404, 28805]]","[[1962, 4645, 22222]]"
kasurnya lapuk . [A],logamnya lapuk . [A],kasurnya,logamnya,"[[47656, 399, 7755]]","[[1487, 309, 22891]]"
"memang tidak ada sarapan , . [A]","memang tidak ada gelap , . [A]",sarapan,gelap,"[[28047, 5359]]","[[17837, 391]]"
tidak ada sabun di dalam kamar . [A],tidak ada fisika di dalam kamar . [A],sabun,fisika,"[[19408, 359]]","[[41623, 11496]]"
ac nya susah di menyalakan . [A],air mineral susah di menyalakan . [A],ac nya,air mineral,"[[1613, 75189]]","[[3720, 24136]]"
kamar sempit . [A],angin sempit . [A],kamar,angin,"[[595, 15554]]","[[6454, 258]]"
"sudah 3x menginap di sini , selalu jadi langganan . tempat nyaman kok . [A]","sudah 3x menginap di sini , selalu jadi langganan . sapu nyaman kok . [A]",tempat,sapu,"[[2730, 266]]","[[34635, 84]]"
pelayanan kurang . [A],perampasan kurang . [A],pelayanan,perampasan,"[[281, 6895, 28618]]","[[817, 1121, 45388]]"
pelayanannya yang sngat profesional . [A],permasalahan yang sngat profesional . [A],pelayanannya,permasalahan,"[[281, 6895, 276, 71098]]","[[817, 6899, 278, 22051]]"
tempat buat istirahat yang sangat nyaman sekali . [A],kunci buat istirahat yang sangat nyaman sekali . [A],tempat,kunci,"[[2730, 266]]","[[595, 18424]]"
di lantai 1 kamar yang kami tempati lumayan besar . [A],di lantai 1 bakso yang kami tempati lumayan besar . [A],kamar,bakso,"[[595, 15554]]","[[36203, 704]]"
pelayanan ramah . [A],makanannya ramah . [A],pelayanan,makanannya,"[[281, 6895, 28618]]","[[296, 19262, 71098]]"
lokasi strategis dekat stasiun blitar dan alun alun . [A],merk strategis dekat stasiun blitar dan alun alun . [A],lokasi,merk,"[[40283, 10215]]","[[4704, 74]]"
kurang nyaman di kamar mandi . [A],kurang nyaman di kulkasnya . [A],kamar mandi,kulkasnya,"[[595, 15554, 11576, 72]]","[[595, 21785, 300, 22891]]"
kamar bagus untuk budget standar . [A],petir bagus untuk budget standar . [A],kamar,petir,"[[595, 15554]]","[[6753, 404]]"
"tidak ada kesan sama sekali , terimakasih . [A]","tidak ada bubuk sama sekali , terimakasih . [A]",kesan,bubuk,"[[50977, 276]]","[[77769, 3101]]"
kebersihan seprai harus tetap dijaga iya . tetapi overall semua oke . [A],kebersihan seprai harus tetap dijaga iya . tetapi hari semua oke . [A],overall,hari,[[8084]],[[69696]]
pelayanan yang baik . [A],bebatuan yang baik . [A],pelayanan,bebatuan,"[[281, 6895, 28618]]","[[387, 13718, 10386]]"
"pelayanannya sangat baik , cocok banget buat para traveller yang ingin inap di daerah ciputat . [A]","permasalahan sangat baik , cocok banget buat para traveller yang ingin inap di daerah ciputat . [A]",pelayanannya,permasalahan,"[[281, 6895, 276, 71098]]","[[817, 6899, 278, 22051]]"
tempat enak banget . [A],layangan enak banget . [A],tempat,layangan,"[[2730, 266]]","[[10962, 18633]]"
"pesan 2 kamar cuma dapat sandal 2 pasang , kamar bau . [A]","pesan 2 kamar cuma dapat sandal 2 pasang , pohon bau . [A]",kamar,pohon,"[[595, 15554]]","[[281, 98592]]"
air tidak jalan . [A],lem tidak jalan . [A],air,lem,[[3720]],[[83974]]
sarapannya ala kadarnya . [A],kesakitan ala kadarnya . [A],sarapannya,kesakitan,"[[28047, 391, 71098]]","[[50977, 585, 12849]]"
"tiga malam menginap di sini . area strategis , tidak begitu jauh dengan bandara dan jembatan ampera . [A]","tiga malam menginap di sini . cat strategis , tidak begitu jauh dengan bandara dan jembatan ampera . [A]",area,cat,[[3082]],[[8251]]
"koridor terkesan kotor , karena banyak terlihat untuk penyimpanan barang barang . suasana tempat jadi te . [A]","biola terkesan kotor , karena banyak terlihat untuk penyimpanan barang barang . suasana tempat jadi te . [A]",koridor,biola,"[[31954, 28756]]","[[6032, 7924]]"
penjaganya ramah . [A],komputernya ramah . [A],penjaganya,komputernya,"[[5750, 73, 351, 24074]]","[[10890, 628, 932, 7755]]"
kamar cukup nyaman . [A],kopi cukup nyaman . [A],kamar,kopi,"[[595, 15554]]","[[595, 71087]]"
pelayannya kurang ramah . [A],tingginya kurang ramah . [A],pelayannya,tingginya,"[[281, 6895, 71098]]","[[42227, 70, 61087]]"
kamar bersih . [A],daun bersih . [A],kamar,daun,"[[595, 15554]]","[[2994, 359]]"
sarapan yang kurang menarik . [A],udara yang kurang menarik . [A],sarapan,udara,"[[28047, 5359]]","[[26994, 5059]]"
menu sarapan kurang enak . [A],timbangannya kurang enak . [A],menu sarapan,timbangannya,"[[5022, 28047, 5359]]","[[6792, 27174, 71098]]"
ac kurang dingin . [A],api kurang dingin . [A],ac,api,[[1613]],[[6330]]
kamar mandi terlalu sempit . [A],otomotif terlalu sempit . [A],kamar mandi,otomotif,"[[595, 15554, 11576, 72]]","[[14147, 316, 354, 333]]"
parkiran luas . [A],jaket luas . [A],parkiran,jaket,"[[6118, 54690]]","[[19394, 295]]"
