element,metric,total_edges,baseline_score,top_k,edge_percentage,circuit_score,faithfulness
aspect,logit_diff,179749,25.6348,100,0.1%,-1.5676,-6.1152%
aspect,logit_diff,179749,25.6348,200,0.1%,4.6774,18.2465%
aspect,logit_diff,179749,25.6348,500,0.3%,13.3337,52.0141%
aspect,logit_diff,179749,25.6348,1000,0.6%,16.7730,65.4307%
aspect,logit_diff,179749,25.6348,2000,1.1%,19.2303,75.0162%
aspect,logit_diff,179749,25.6348,5000,2.8%,20.5441,80.1416%
aspect,logit_diff,179749,25.6348,10000,5.6%,22.6732,88.4469%
aspect,logit_diff,179749,25.6348,20000,11.1%,23.5907,92.0259%
aspect,logit_diff,179749,25.6348,30000,16.7%,24.0173,93.6902%
aspect,logit_diff,179749,25.6348,40000,22.3%,24.0538,93.8327%
opinion,logit_diff,179749,20.3099,100,0.1%,-6.0842,-29.9569%
opinion,logit_diff,179749,20.3099,200,0.1%,0.4001,1.9701%
opinion,logit_diff,179749,20.3099,500,0.3%,10.2335,50.3867%
opinion,logit_diff,179749,20.3099,1000,0.6%,14.9252,73.4875%
opinion,logit_diff,179749,20.3099,2000,1.1%,17.0633,84.0146%
opinion,logit_diff,179749,20.3099,5000,2.8%,18.4355,90.7709%
opinion,logit_diff,179749,20.3099,10000,5.6%,19.1111,94.0977%
opinion,logit_diff,179749,20.3099,20000,11.1%,19.6546,96.7734%
opinion,logit_diff,179749,20.3099,30000,16.7%,19.8233,97.6043%
opinion,logit_diff,179749,20.3099,40000,22.3%,19.8764,97.8657%
sentiment,logit_diff,179749,15.2971,100,0.1%,-3.8803,-25.3665%
sentiment,logit_diff,179749,15.2971,200,0.1%,-1.9981,-13.0617%
sentiment,logit_diff,179749,15.2971,500,0.3%,2.4775,16.1958%
sentiment,logit_diff,179749,15.2971,1000,0.6%,6.3881,41.7600%
sentiment,logit_diff,179749,15.2971,2000,1.1%,8.7571,57.2467%
sentiment,logit_diff,179749,15.2971,5000,2.8%,11.7865,77.0509%
sentiment,logit_diff,179749,15.2971,10000,5.6%,12.8179,83.7934%
sentiment,logit_diff,179749,15.2971,20000,11.1%,13.1652,86.0637%
sentiment,logit_diff,179749,15.2971,30000,16.7%,13.3737,87.4264%
sentiment,logit_diff,179749,15.2971,40000,22.3%,13.5340,88.4745%
